1  1  -0.244334
1  2  -0.244334
1  3  -0.244334
1  4  -0.244334
1  5  -0.244334
2  1  -0.257185
2  2  -0.257185
2  3  -0.257185
2  4  -0.257185
2  5  -0.257185
3  1  -0.265813
3  2  -0.265813
3  3  -0.265813
3  4  -0.265813
3  5  -0.265813
4  1  -0.258739
4  2  -0.258739
4  3  -0.258739
4  4  -0.258739
4  5  -0.258739
5  1  -0.265799
5  2  -0.265799
5  3  -0.265799
5  4  -0.265799
5  5  -0.265799
6  1  -0.273333
6  2  -0.273333
6  3  -0.273333
6  4  -0.273333
6  5  -0.273333
7  1  -0.690709
7  2  -0.690709
7  3  -0.690709
7  4  -0.690709
7  5  -0.690709
8  1  -1.59919
8  2  -1.59919
8  3  -1.59919
8  4  -1.59919
8  5  -1.59919
9  1  0
9  2  0
9  3  0
9  4  0
9  5  0
10 1  -0.258113
10 2  -0.258113
10 3  -0.258113
10 4  -0.258113
10 5  -0.258113
11 1  -0.26983
11 2  -0.26983
11 3  -0.26983
11 4  -0.26983
11 5  -0.26983
12 1  -0.255179
12 2  -0.255179
12 3  -0.255179
12 4  -0.255179
12 5  -0.255179
13 1  -0.248512
13 2  -0.248512
13 3  -0.248512
13 4  -0.248512
13 5  -0.248512
14 1  -0.251464
14 2  -0.251464
14 3  -0.251464
14 4  -0.251464
14 5  -0.251464
15 1  -0.245998
15 2  -0.245998
15 3  -0.245998
15 4  -0.245998
15 5  -0.245998
16 1  -0.260489
16 2  -0.260489
16 3  -0.260489
16 4  -0.260489
16 5  -0.260489
17 1  -0.262626
17 2  -0.262626
17 3  -0.262626
17 4  -0.262626
17 5  -0.262626
18 1  -0.258608
18 2  -0.258608
18 3  -0.258608
18 4  -0.258608
18 5  -0.258608
19 1  -0.262594
19 2  -0.262594
19 3  -0.262594
19 4  -0.262594
19 5  -0.262594
20 1  -0.254771
20 2  -0.254771
20 3  -0.254771
20 4  -0.254771
20 5  -0.254771
21 1  -0.270322
21 2  -0.270322
21 3  -0.270322
21 4  -0.270322
21 5  -0.270322
22 1  -0.251023
22 2  -0.251023
22 3  -0.251023
22 4  -0.251023
22 5  -0.251023
23 1  0
23 2  0
23 3  0
23 4  0
23 5  0
24 1  0.148881
24 2  0.148881
24 3  0.148881
24 4  0.148881
24 5  0.148881
25 1  -0.692942
25 2  -0.692942
25 3  -0.692942
25 4  -0.692942
25 5  -0.692942
26 1  -0.279182
26 2  -0.279182
26 3  -0.279182
26 4  -0.279182
26 5  -0.279182
27 1  -0.26333
27 2  -0.26333
27 3  -0.26333
27 4  -0.26333
27 5  -0.26333
28 1  -0.282433
28 2  -0.282433
28 3  -0.282433
28 4  -0.282433
28 5  -0.282433
29 1  -0.236496
29 2  -0.236496
29 3  -0.236496
29 4  -0.236496
29 5  -0.236496
30 1  -0.231498
30 2  -0.231498
30 3  -0.231498
30 4  -0.231498
30 5  -0.231498
